"order_num","title","issue","phase","event","year","slug","url","total_pages","scrape_status","scraped_at","bookmark"
"537","X-Men Unlimited Infinity Comic","93","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-93?quality=hq","28","done","2026-03-09T20:24:15.030585","0"
"538","X-Men Unlimited Infinity Comic","94","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-94?quality=hq","25","done","2026-03-09T20:24:15.091614","0"
"539","X-Men Unlimited Infinity Comic","95","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-95?quality=hq","24","done","2026-03-09T20:24:14.862493","0"
"540","X-Men Unlimited Infinity Comic","96","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-96?quality=hq","26","done","2026-03-09T20:24:17.187738","0"
"541","X-Men Unlimited Infinity Comic","97","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-97?quality=hq","27","done","2026-03-09T20:24:59.593490","0"
"542","X-Men Unlimited Infinity Comic","98","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-98?quality=hq","26","done","2026-03-09T20:25:00.072627","0"
"543","X-Men Unlimited Infinity Comic","99","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-99?quality=hq","26","done","2026-03-09T20:24:59.917036","0"
"544","X-Men Unlimited Infinity Comic","100","Destiny of X","","2022","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-100?quality=hq","26","done","2026-03-09T20:24:59.639422","0"
"545","X-Men Unlimited Infinity Comic","101","Destiny of X","","2023","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-101?quality=hq","26","done","2026-03-09T20:25:00.075629","0"
"546","X-Men Unlimited Infinity Comic","102","Destiny of X","","2023","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-102?quality=hq","26","done","2026-03-09T20:25:00.597512","0"
"547","X-Men Unlimited Infinity Comic","103","Destiny of X","","2023","X-Men-Unlimited-Infinity-Comic","https://readcomiconline.li/Comic/X-Men-Unlimited-Infinity-Comic/Issue-103?quality=hq","26","done","2026-03-09T20:24:59.068507","0"
